"ccode","decade","pop","pop2","gdp","gdp2","lab","cra","edu","att","lif","hgt","pol","id","hom","bio","c2p","s2p","s2t","c2t","ine","region","ctr"
8,1880,665,665,516.409280351367,516.409280351367,NA,NA,NA,NA,34.4635274689777,170.1,1,NA,0.913638932731602,0.892,0,0,0,0.918388506444517,34.1984756044476,"East. Europe and form. SU","Albania"
8,1890,726,726,597.7961433,597.7961433,NA,NA,NA,NA,37.0587259784344,169.8,1,NA,0.973307304561417,0.884,0,0,0,2.02854611039235,28.36242,"East. Europe and form. SU","Albania"
8,1900,800,800,685,685,NA,NA,NA,NA,39.84935008121,169.2,1,NA,1.03687252718126,0.876,0,0,0,4.48067380320219,28.0319699663688,"East. Europe and form. SU","Albania"
8,1910,886,886,795.50539465,780.3203661,NA,NA,NA,NA,42.8501158625615,169.06954833253,1,NA,1.10458909800098,0.868,0,0,0,9.89695902294246,27.70537,"East. Europe and form. SU","Albania"
8,1920,954.4,954.4,926.3050154,830.519717551226,NA,NA,NA,NA,46.0768475694846,168.939197242115,11,0,1.17672813526992,0.864,0,0,0,21.8605062997,27.808183303792,"East. Europe and form. SU","Albania"
8,1930,1012.7,1012.7,999.913344823201,883.948479633778,NA,NA,NA,NA,49.546561058344,168.808946651209,2,0,1.25357846355877,0.863,0,0,0,48.2857142857143,27.9113781428401,"East. Europe and form. SU","Albania"
8,1940,1141.4,1141.4,1079.370920521,940.814405888772,NA,NA,NA,NA,53.2775535263398,168.67879648233,11,NA,1.33544777013247,0.855,0.18,0,4,161.8,28.0149559330032,"East. Europe and form. SU","Albania"
8,1950,1382.7,1382.7,1165.1425497,1001.338615,NA,NA,NA,NA,57.2895,168.548746658051,2,0.94,1.4226638368442,0.841,0.07,0,3,208.6,28.1189180953949,"East. Europe and form. SU","Albania"
8,1960,1858,1858,1662.3127531,1450.914723,NA,NA,NA,NA,65.5555,168.41879710101,2,0,1.51557585248243,0.8,0.34,0.01,21,670.8,28.2232660564019,"East. Europe and form. SU","Albania"
8,1970,2382,2382,2235.3676768,2003.536581,NA,NA,NA,NA,68.708,168.288947733899,2,0,1.61455581082531,0.782,0.47,0.02,47,1397.2,28.3280012477045,"East. Europe and form. SU","Albania"
